# ŦаƄȴℯ τᴏ ¢օƞνеɼȶ սηіҫօɗе ƈᴑȡe ρoɨոƭʂ ȶဝ ʈɦℯⅈг ɳeẚɼℯѕŧ ᗅЅСƗІ homoglyph
# Copyright (c) 2011 Cristian Martinez <me-at-martinec.org>
#
# This data is released under the LGPLLR license. You can use it in commercial
# and non-commercial code with attribution. See http://spdx.org/licenses/LGPLLR
#
# Note:
# The rules to convert accented characters to their unaccented version are
# omitted. Unaccented characters can be obtained by removing the Combining
# Diacritical Marks from canonical mappings containg two-codepoints in the
# form <unaccented character> <combining diacritical mark>
#
# Format:
# <code point>;<normalization>;(glyph) (normalization);(glyph name) (normalization)
1D475;004E;(𝑵) (N);(MATHEMATICAL BOLD ITALIC CAPITAL N) (LATIN CAPITAL LETTER N)
1D4A9;004E;(𝒩) (N);(MATHEMATICAL SCRIPT CAPITAL N) (LATIN CAPITAL LETTER N)
1D4DD;004E;(𝓝) (N);(MATHEMATICAL BOLD SCRIPT CAPITAL N) (LATIN CAPITAL LETTER N)
1D511;004E;(𝔑) (N);(MATHEMATICAL FRAKTUR CAPITAL N) (LATIN CAPITAL LETTER N)
1D579;004E;(𝕹) (N);(MATHEMATICAL BOLD FRAKTUR CAPITAL N) (LATIN CAPITAL LETTER N)
1D5AD;004E;(𝖭) (N);(MATHEMATICAL SANS-SERIF CAPITAL N) (LATIN CAPITAL LETTER N)
1D5E1;004E;(𝗡) (N);(MATHEMATICAL SANS-SERIF BOLD CAPITAL N) (LATIN CAPITAL LETTER N)
1D615;004E;(𝘕) (N);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL N) (LATIN CAPITAL LETTER N)
1D649;004E;(𝙉) (N);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL N) (LATIN CAPITAL LETTER N)
1D67D;004E;(𝙽) (N);(MATHEMATICAL MONOSPACE CAPITAL N) (LATIN CAPITAL LETTER N)
1D6B4;004E;(𝚴) (N);(MATHEMATICAL BOLD CAPITAL NU) (LATIN CAPITAL LETTER N)
1D6EE;004E;(𝛮) (N);(MATHEMATICAL ITALIC CAPITAL NU) (LATIN CAPITAL LETTER N)
1D728;004E;(𝜨) (N);(MATHEMATICAL BOLD ITALIC CAPITAL NU) (LATIN CAPITAL LETTER N)
1D762;004E;(𝝢) (N);(MATHEMATICAL SANS-SERIF BOLD CAPITAL NU) (LATIN CAPITAL LETTER N)
1D79C;004E;(𝞜) (N);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL NU) (LATIN CAPITAL LETTER N)
2115;004E;(ℕ) (N);(DOUBLE-STRUCK CAPITAL N) (LATIN CAPITAL LETTER N)
2116;004E 006F;(№) (No);(NUMERO SIGN) (LATIN CAPITAL LETTER N  LATIN SMALL LETTER O)
24C3;004E;(Ⓝ) (N);(CIRCLED LATIN CAPITAL LETTER N) (LATIN CAPITAL LETTER N)
2C9A;004E;(Ⲛ) (N);(COPTIC CAPITAL LETTER NI) (LATIN CAPITAL LETTER N)
A4E0;004E;(ꓠ) (N);(LISU LETTER NA) (LATIN CAPITAL LETTER N)
FF2E;004E;(Ｎ) (N);(FULLWIDTH LATIN CAPITAL LETTER N) (LATIN CAPITAL LETTER N)
00D8;004F;(Ø) (O);(LATIN CAPITAL LETTER O WITH STROKE) (LATIN CAPITAL LETTER O)
0152;004F 0045;(Œ) (OE);(LATIN CAPITAL LIGATURE OE) (LATIN CAPITAL LETTER O  LATIN CAPITAL LETTER E)
019F;004F;(Ɵ) (O);(LATIN CAPITAL LETTER O WITH MIDDLE TILDE) (LATIN CAPITAL LETTER O)
0398;004F;(Θ) (O);(GREEK CAPITAL LETTER THETA) (LATIN CAPITAL LETTER O)
039F;004F;(Ο) (O);(GREEK CAPITAL LETTER OMICRON) (LATIN CAPITAL LETTER O)
03B8;004F;(θ) (O);(GREEK SMALL LETTER THETA) (LATIN CAPITAL LETTER O)
03D1;004F;(ϑ) (O);(GREEK THETA SYMBOL) (LATIN CAPITAL LETTER O)
03F4;004F;(ϴ) (O);(GREEK CAPITAL THETA SYMBOL) (LATIN CAPITAL LETTER O)
041E;004F;(О) (O);(CYRILLIC CAPITAL LETTER O) (LATIN CAPITAL LETTER O)
0472;004F;(Ѳ) (O);(CYRILLIC CAPITAL LETTER FITA) (LATIN CAPITAL LETTER O)
04E8;004F;(Ө) (O);(CYRILLIC CAPITAL LETTER BARRED O) (LATIN CAPITAL LETTER O)
0555;004F;(Օ) (O);(ARMENIAN CAPITAL LETTER OH) (LATIN CAPITAL LETTER O)
07C0;004F;(߀) (O);(NKO DIGIT ZERO) (LATIN CAPITAL LETTER O)
13BE;004F;(Ꮎ) (O);(CHEROKEE LETTER NA) (LATIN CAPITAL LETTER O)
1D3C;004F;(ᴼ) (O);(MODIFIER LETTER CAPITAL O) (LATIN CAPITAL LETTER O)
1D40E;004F;(𝐎) (O);(MATHEMATICAL BOLD CAPITAL O) (LATIN CAPITAL LETTER O)
1D442;004F;(𝑂) (O);(MATHEMATICAL ITALIC CAPITAL O) (LATIN CAPITAL LETTER O)
1D476;004F;(𝑶) (O);(MATHEMATICAL BOLD ITALIC CAPITAL O) (LATIN CAPITAL LETTER O)
1D4AA;004F;(𝒪) (O);(MATHEMATICAL SCRIPT CAPITAL O) (LATIN CAPITAL LETTER O)
1D4DE;004F;(𝓞) (O);(MATHEMATICAL BOLD SCRIPT CAPITAL O) (LATIN CAPITAL LETTER O)
1D512;004F;(𝔒) (O);(MATHEMATICAL FRAKTUR CAPITAL O) (LATIN CAPITAL LETTER O)
1D546;004F;(𝕆) (O);(MATHEMATICAL DOUBLE-STRUCK CAPITAL O) (LATIN CAPITAL LETTER O)
1D57A;004F;(𝕺) (O);(MATHEMATICAL BOLD FRAKTUR CAPITAL O) (LATIN CAPITAL LETTER O)
1D5AE;004F;(𝖮) (O);(MATHEMATICAL SANS-SERIF CAPITAL O) (LATIN CAPITAL LETTER O)
1D5E2;004F;(𝗢) (O);(MATHEMATICAL SANS-SERIF BOLD CAPITAL O) (LATIN CAPITAL LETTER O)
1D616;004F;(𝘖) (O);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL O) (LATIN CAPITAL LETTER O)
1D64A;004F;(𝙊) (O);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL O) (LATIN CAPITAL LETTER O)
1D67E;004F;(𝙾) (O);(MATHEMATICAL MONOSPACE CAPITAL O) (LATIN CAPITAL LETTER O)
1D6AF;004F;(𝚯) (O);(MATHEMATICAL BOLD CAPITAL THETA) (LATIN CAPITAL LETTER O)
1D6B6;004F;(𝚶) (O);(MATHEMATICAL BOLD CAPITAL OMICRON) (LATIN CAPITAL LETTER O)
1D6B9;004F;(𝚹) (O);(MATHEMATICAL BOLD CAPITAL THETA SYMBOL) (LATIN CAPITAL LETTER O)
1D6C9;004F;(𝛉) (O);(MATHEMATICAL BOLD SMALL THETA) (LATIN CAPITAL LETTER O)
1D6DD;004F;(𝛝) (O);(MATHEMATICAL BOLD THETA SYMBOL) (LATIN CAPITAL LETTER O)
1D6E9;004F;(𝛩) (O);(MATHEMATICAL ITALIC CAPITAL THETA) (LATIN CAPITAL LETTER O)
1D6F0;004F;(𝛰) (O);(MATHEMATICAL ITALIC CAPITAL OMICRON) (LATIN CAPITAL LETTER O)
1D6F3;004F;(𝛳) (O);(MATHEMATICAL ITALIC CAPITAL THETA SYMBOL) (LATIN CAPITAL LETTER O)
1D703;004F;(𝜃) (O);(MATHEMATICAL ITALIC SMALL THETA) (LATIN CAPITAL LETTER O)
1D717;004F;(𝜗) (O);(MATHEMATICAL ITALIC THETA SYMBOL) (LATIN CAPITAL LETTER O)
1D723;004F;(𝜣) (O);(MATHEMATICAL BOLD ITALIC CAPITAL THETA) (LATIN CAPITAL LETTER O)
1D72A;004F;(𝜪) (O);(MATHEMATICAL BOLD ITALIC CAPITAL OMICRON) (LATIN CAPITAL LETTER O)
1D72D;004F;(𝜭) (O);(MATHEMATICAL BOLD ITALIC CAPITAL THETA SYMBOL) (LATIN CAPITAL LETTER O)
1D73D;004F;(𝜽) (O);(MATHEMATICAL BOLD ITALIC SMALL THETA) (LATIN CAPITAL LETTER O)
1D751;004F;(𝝑) (O);(MATHEMATICAL BOLD ITALIC THETA SYMBOL) (LATIN CAPITAL LETTER O)
1D75D;004F;(𝝝) (O);(MATHEMATICAL SANS-SERIF BOLD CAPITAL THETA) (LATIN CAPITAL LETTER O)
1D764;004F;(𝝤) (O);(MATHEMATICAL SANS-SERIF BOLD CAPITAL OMICRON) (LATIN CAPITAL LETTER O)
1D767;004F;(𝝧) (O);(MATHEMATICAL SANS-SERIF BOLD CAPITAL THETA SYMBOL) (LATIN CAPITAL LETTER O)
1D777;004F;(𝝷) (O);(MATHEMATICAL SANS-SERIF BOLD SMALL THETA) (LATIN CAPITAL LETTER O)
1D78B;004F;(𝞋) (O);(MATHEMATICAL SANS-SERIF BOLD THETA SYMBOL) (LATIN CAPITAL LETTER O)
1D797;004F;(𝞗) (O);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL THETA) (LATIN CAPITAL LETTER O)
1D79E;004F;(𝞞) (O);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL OMICRON) (LATIN CAPITAL LETTER O)
1D7A1;004F;(𝞡) (O);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL THETA SYMBOL) (LATIN CAPITAL LETTER O)
1D7B1;004F;(𝞱) (O);(MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL THETA) (LATIN CAPITAL LETTER O)
1D7C5;004F;(𝟅) (O);(MATHEMATICAL SANS-SERIF BOLD ITALIC THETA SYMBOL) (LATIN CAPITAL LETTER O)
2296;004F;(⊖) (O);(CIRCLED MINUS) (LATIN CAPITAL LETTER O)
229D;004F;(⊝) (O);(CIRCLED DASH) (LATIN CAPITAL LETTER O)
236C;004F;(⍬) (O);(APL FUNCTIONAL SYMBOL ZILDE) (LATIN CAPITAL LETTER O)
24C4;004F;(Ⓞ) (O);(CIRCLED LATIN CAPITAL LETTER O) (LATIN CAPITAL LETTER O)
2C9E;004F;(Ⲟ) (O);(COPTIC CAPITAL LETTER O) (LATIN CAPITAL LETTER O)
2D31;004F;(ⴱ) (O);(TIFINAGH LETTER YAB) (LATIN CAPITAL LETTER O)
2D54;004F;(ⵔ) (O);(TIFINAGH LETTER YAR) (LATIN CAPITAL LETTER O)
3007;004F;(〇) (O);(IDEOGRAPHIC NUMBER ZERO) (LATIN CAPITAL LETTER O)
A4F3;004F;(ꓳ) (O);(LISU LETTER O) (LATIN CAPITAL LETTER O)
A74E;004F 004F;(Ꝏ) (OO);(LATIN CAPITAL LETTER OO) (LATIN CAPITAL LETTER O  LATIN CAPITAL LETTER O)
FF2F;004F;(Ｏ) (O);(FULLWIDTH LATIN CAPITAL LETTER O) (LATIN CAPITAL LETTER O)
01A4;0050;(Ƥ) (P);(LATIN CAPITAL LETTER P WITH HOOK) (LATIN CAPITAL LETTER P)
03A1;0050;(Ρ) (P);(GREEK CAPITAL LETTER RHO) (LATIN CAPITAL LETTER P)
0420;0050;(Р) (P);(CYRILLIC CAPITAL LETTER ER) (LATIN CAPITAL LETTER P)
13E2;0050;(Ꮲ) (P);(CHEROKEE LETTER TLV) (LATIN CAPITAL LETTER P)
146D;0050;(ᑭ) (P);(CANADIAN SYLLABICS KI) (LATIN CAPITAL LETTER P)
1476;0050;(ᑶ) (P);(CANADIAN SYLLABICS KWI) (LATIN CAPITAL LETTER P)
1477;0050;(ᑷ) (P);(CANADIAN SYLLABICS WEST-CREE KWI) (LATIN CAPITAL LETTER P)
1486;0050;(ᒆ) (P);(CANADIAN SYLLABICS SOUTH-SLAVEY KIH) (LATIN CAPITAL LETTER P)
157F;0050;(ᕿ) (P);(CANADIAN SYLLABICS QI) (LATIN CAPITAL LETTER P)
1D3E;0050;(ᴾ) (P);(MODIFIER LETTER CAPITAL P) (LATIN CAPITAL LETTER P)
1D40F;0050;(𝐏) (P);(MATHEMATICAL BOLD CAPITAL P) (LATIN CAPITAL LETTER P)
1D443;0050;(𝑃) (P);(MATHEMATICAL ITALIC CAPITAL P) (LATIN CAPITAL LETTER P)
1D477;0050;(𝑷) (P);(MATHEMATICAL BOLD ITALIC CAPITAL P) (LATIN CAPITAL LETTER P)
1D4AB;0050;(𝒫) (P);(MATHEMATICAL SCRIPT CAPITAL P) (LATIN CAPITAL LETTER P)
1D4DF;0050;(𝓟) (P);(MATHEMATICAL BOLD SCRIPT CAPITAL P) (LATIN CAPITAL LETTER P)
1D513;0050;(𝔓) (P);(MATHEMATICAL FRAKTUR CAPITAL P) (LATIN CAPITAL LETTER P)
1D57B;0050;(𝕻) (P);(MATHEMATICAL BOLD FRAKTUR CAPITAL P) (LATIN CAPITAL LETTER P)
1D5AF;0050;(𝖯) (P);(MATHEMATICAL SANS-SERIF CAPITAL P) (LATIN CAPITAL LETTER P)
1D5E3;0050;(𝗣) (P);(MATHEMATICAL SANS-SERIF BOLD CAPITAL P) (LATIN CAPITAL LETTER P)
1D617;0050;(𝘗) (P);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL P) (LATIN CAPITAL LETTER P)
1D64B;0050;(𝙋) (P);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL P) (LATIN CAPITAL LETTER P)
1D67F;0050;(𝙿) (P);(MATHEMATICAL MONOSPACE CAPITAL P) (LATIN CAPITAL LETTER P)
1D6B8;0050;(𝚸) (P);(MATHEMATICAL BOLD CAPITAL RHO) (LATIN CAPITAL LETTER P)
1D6F2;0050;(𝛲) (P);(MATHEMATICAL ITALIC CAPITAL RHO) (LATIN CAPITAL LETTER P)
1D72C;0050;(𝜬) (P);(MATHEMATICAL BOLD ITALIC CAPITAL RHO) (LATIN CAPITAL LETTER P)
1D766;0050;(𝝦) (P);(MATHEMATICAL SANS-SERIF BOLD CAPITAL RHO) (LATIN CAPITAL LETTER P)
1D7A0;0050;(𝞠) (P);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL RHO) (LATIN CAPITAL LETTER P)
2119;0050;(ℙ) (P);(DOUBLE-STRUCK CAPITAL P) (LATIN CAPITAL LETTER P)
24C5;0050;(Ⓟ) (P);(CIRCLED LATIN CAPITAL LETTER P) (LATIN CAPITAL LETTER P)
2CA2;0050;(Ⲣ) (P);(COPTIC CAPITAL LETTER RO) (LATIN CAPITAL LETTER P)
3250;0050 0054 0045;(㉐) (PTE);(PARTNERSHIP SIGN) (LATIN CAPITAL LETTER P  LATIN CAPITAL LETTER T  LATIN CAPITAL LETTER E)
33A9;0050 0061;(㎩) (Pa);(SQUARE PA) (LATIN CAPITAL LETTER P  LATIN SMALL LETTER A)
33D7;0050 0048;(㏗) (PH);(SQUARE PH) (LATIN CAPITAL LETTER P  LATIN CAPITAL LETTER H)
33D9;0050 0050 004D;(㏙) (PPM);(SQUARE PPM) (LATIN CAPITAL LETTER P  LATIN CAPITAL LETTER P  LATIN CAPITAL LETTER M)
33DA;0050 0052;(㏚) (PR);(SQUARE PR) (LATIN CAPITAL LETTER P  LATIN CAPITAL LETTER R)
A4D1;0050;(ꓑ) (P);(LISU LETTER PA) (LATIN CAPITAL LETTER P)
FF30;0050;(Ｐ) (P);(FULLWIDTH LATIN CAPITAL LETTER P) (LATIN CAPITAL LETTER P)
1D410;0051;(𝐐) (Q);(MATHEMATICAL BOLD CAPITAL Q) (LATIN CAPITAL LETTER Q)
1D444;0051;(𝑄) (Q);(MATHEMATICAL ITALIC CAPITAL Q) (LATIN CAPITAL LETTER Q)
1D478;0051;(𝑸) (Q);(MATHEMATICAL BOLD ITALIC CAPITAL Q) (LATIN CAPITAL LETTER Q)
1D4AC;0051;(𝒬) (Q);(MATHEMATICAL SCRIPT CAPITAL Q) (LATIN CAPITAL LETTER Q)
1D4E0;0051;(𝓠) (Q);(MATHEMATICAL BOLD SCRIPT CAPITAL Q) (LATIN CAPITAL LETTER Q)
1D514;0051;(𝔔) (Q);(MATHEMATICAL FRAKTUR CAPITAL Q) (LATIN CAPITAL LETTER Q)
1D57C;0051;(𝕼) (Q);(MATHEMATICAL BOLD FRAKTUR CAPITAL Q) (LATIN CAPITAL LETTER Q)
1D5B0;0051;(𝖰) (Q);(MATHEMATICAL SANS-SERIF CAPITAL Q) (LATIN CAPITAL LETTER Q)
1D5E4;0051;(𝗤) (Q);(MATHEMATICAL SANS-SERIF BOLD CAPITAL Q) (LATIN CAPITAL LETTER Q)
1D618;0051;(𝘘) (Q);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL Q) (LATIN CAPITAL LETTER Q)
1D64C;0051;(𝙌) (Q);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL Q) (LATIN CAPITAL LETTER Q)
1D680;0051;(𝚀) (Q);(MATHEMATICAL MONOSPACE CAPITAL Q) (LATIN CAPITAL LETTER Q)
211A;0051;(ℚ) (Q);(DOUBLE-STRUCK CAPITAL Q) (LATIN CAPITAL LETTER Q)
24C6;0051;(Ⓠ) (Q);(CIRCLED LATIN CAPITAL LETTER Q) (LATIN CAPITAL LETTER Q)
FF31;0051;(Ｑ) (Q);(FULLWIDTH LATIN CAPITAL LETTER Q) (LATIN CAPITAL LETTER Q)
01A6;0052;(Ʀ) (R);(LATIN LETTER YR) (LATIN CAPITAL LETTER R)
13A1;0052;(Ꭱ) (R);(CHEROKEE LETTER E) (LATIN CAPITAL LETTER R)
13D2;0052;(Ꮢ) (R);(CHEROKEE LETTER SV) (LATIN CAPITAL LETTER R)
1587;0052;(ᖇ) (R);(CANADIAN SYLLABICS TLHI) (LATIN CAPITAL LETTER R)
1D3F;0052;(ᴿ) (R);(MODIFIER LETTER CAPITAL R) (LATIN CAPITAL LETTER R)
1D411;0052;(𝐑) (R);(MATHEMATICAL BOLD CAPITAL R) (LATIN CAPITAL LETTER R)
1D445;0052;(𝑅) (R);(MATHEMATICAL ITALIC CAPITAL R) (LATIN CAPITAL LETTER R)
1D479;0052;(𝑹) (R);(MATHEMATICAL BOLD ITALIC CAPITAL R) (LATIN CAPITAL LETTER R)
1D4E1;0052;(𝓡) (R);(MATHEMATICAL BOLD SCRIPT CAPITAL R) (LATIN CAPITAL LETTER R)
1D57D;0052;(𝕽) (R);(MATHEMATICAL BOLD FRAKTUR CAPITAL R) (LATIN CAPITAL LETTER R)
1D5B1;0052;(𝖱) (R);(MATHEMATICAL SANS-SERIF CAPITAL R) (LATIN CAPITAL LETTER R)
1D5E5;0052;(𝗥) (R);(MATHEMATICAL SANS-SERIF BOLD CAPITAL R) (LATIN CAPITAL LETTER R)
1D619;0052;(𝘙) (R);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL R) (LATIN CAPITAL LETTER R)
1D64D;0052;(𝙍) (R);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL R) (LATIN CAPITAL LETTER R)
1D681;0052;(𝚁) (R);(MATHEMATICAL MONOSPACE CAPITAL R) (LATIN CAPITAL LETTER R)
20A8;0052 0073;(₨) (Rs);(RUPEE SIGN) (LATIN CAPITAL LETTER R  LATIN SMALL LETTER S)
211B;0052;(ℛ) (R);(SCRIPT CAPITAL R) (LATIN CAPITAL LETTER R)
211C;0052;(ℜ) (R);(BLACK-LETTER CAPITAL R) (LATIN CAPITAL LETTER R)
211D;0052;(ℝ) (R);(DOUBLE-STRUCK CAPITAL R) (LATIN CAPITAL LETTER R)
24C7;0052;(Ⓡ) (R);(CIRCLED LATIN CAPITAL LETTER R) (LATIN CAPITAL LETTER R)
A4E3;0052;(ꓣ) (R);(LISU LETTER ZHA) (LATIN CAPITAL LETTER R)
A75A;0052;(Ꝛ) (R);(LATIN CAPITAL LETTER R ROTUNDA) (LATIN CAPITAL LETTER R)
FF32;0052;(Ｒ) (R);(FULLWIDTH LATIN CAPITAL LETTER R) (LATIN CAPITAL LETTER R)
0405;0053;(Ѕ) (S);(CYRILLIC CAPITAL LETTER DZE) (LATIN CAPITAL LETTER S)
054F;0053;(Տ) (S);(ARMENIAN CAPITAL LETTER TIWN) (LATIN CAPITAL LETTER S)
13D5;0053;(Ꮥ) (S);(CHEROKEE LETTER DE) (LATIN CAPITAL LETTER S)
13DA;0053;(Ꮪ) (S);(CHEROKEE LETTER DU) (LATIN CAPITAL LETTER S)
1D412;0053;(𝐒) (S);(MATHEMATICAL BOLD CAPITAL S) (LATIN CAPITAL LETTER S)
1D446;0053;(𝑆) (S);(MATHEMATICAL ITALIC CAPITAL S) (LATIN CAPITAL LETTER S)
1D47A;0053;(𝑺) (S);(MATHEMATICAL BOLD ITALIC CAPITAL S) (LATIN CAPITAL LETTER S)
1D4AE;0053;(𝒮) (S);(MATHEMATICAL SCRIPT CAPITAL S) (LATIN CAPITAL LETTER S)
1D4E2;0053;(𝓢) (S);(MATHEMATICAL BOLD SCRIPT CAPITAL S) (LATIN CAPITAL LETTER S)
1D516;0053;(𝔖) (S);(MATHEMATICAL FRAKTUR CAPITAL S) (LATIN CAPITAL LETTER S)
1D54A;0053;(𝕊) (S);(MATHEMATICAL DOUBLE-STRUCK CAPITAL S) (LATIN CAPITAL LETTER S)
1D57E;0053;(𝕾) (S);(MATHEMATICAL BOLD FRAKTUR CAPITAL S) (LATIN CAPITAL LETTER S)
1D5B2;0053;(𝖲) (S);(MATHEMATICAL SANS-SERIF CAPITAL S) (LATIN CAPITAL LETTER S)
1D5E6;0053;(𝗦) (S);(MATHEMATICAL SANS-SERIF BOLD CAPITAL S) (LATIN CAPITAL LETTER S)
1D61A;0053;(𝘚) (S);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL S) (LATIN CAPITAL LETTER S)
1D64E;0053;(𝙎) (S);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL S) (LATIN CAPITAL LETTER S)
1D682;0053;(𝚂) (S);(MATHEMATICAL MONOSPACE CAPITAL S) (LATIN CAPITAL LETTER S)
2120;0053 004D;(℠) (SM);(SERVICE MARK) (LATIN CAPITAL LETTER S  LATIN CAPITAL LETTER M)
24C8;0053;(Ⓢ) (S);(CIRCLED LATIN CAPITAL LETTER S) (LATIN CAPITAL LETTER S)
33DC;0053 0076;(㏜) (Sv);(SQUARE SV) (LATIN CAPITAL LETTER S  LATIN SMALL LETTER V)
A4E2;0053;(ꓢ) (S);(LISU LETTER SA) (LATIN CAPITAL LETTER S)
FF33;0053;(Ｓ) (S);(FULLWIDTH LATIN CAPITAL LETTER S) (LATIN CAPITAL LETTER S)
0166;0054;(Ŧ) (T);(LATIN CAPITAL LETTER T WITH STROKE) (LATIN CAPITAL LETTER T)
01AC;0054;(Ƭ) (T);(LATIN CAPITAL LETTER T WITH HOOK) (LATIN CAPITAL LETTER T)
01AE;0054;(Ʈ) (T);(LATIN CAPITAL LETTER T WITH RETROFLEX HOOK) (LATIN CAPITAL LETTER T)
03A4;0054;(Τ) (T);(GREEK CAPITAL LETTER TAU) (LATIN CAPITAL LETTER T)
0422;0054;(Т) (T);(CYRILLIC CAPITAL LETTER TE) (LATIN CAPITAL LETTER T)
04AC;0054;(Ҭ) (T);(CYRILLIC CAPITAL LETTER TE WITH DESCENDER) (LATIN CAPITAL LETTER T)
13A2;0054;(Ꭲ) (T);(CHEROKEE LETTER I) (LATIN CAPITAL LETTER T)
1D40;0054;(ᵀ) (T);(MODIFIER LETTER CAPITAL T) (LATIN CAPITAL LETTER T)
1D413;0054;(𝐓) (T);(MATHEMATICAL BOLD CAPITAL T) (LATIN CAPITAL LETTER T)
1D447;0054;(𝑇) (T);(MATHEMATICAL ITALIC CAPITAL T) (LATIN CAPITAL LETTER T)
1D47B;0054;(𝑻) (T);(MATHEMATICAL BOLD ITALIC CAPITAL T) (LATIN CAPITAL LETTER T)
1D4AF;0054;(𝒯) (T);(MATHEMATICAL SCRIPT CAPITAL T) (LATIN CAPITAL LETTER T)
1D4E3;0054;(𝓣) (T);(MATHEMATICAL BOLD SCRIPT CAPITAL T) (LATIN CAPITAL LETTER T)
1D517;0054;(𝔗) (T);(MATHEMATICAL FRAKTUR CAPITAL T) (LATIN CAPITAL LETTER T)
1D54B;0054;(𝕋) (T);(MATHEMATICAL DOUBLE-STRUCK CAPITAL T) (LATIN CAPITAL LETTER T)
1D57F;0054;(𝕿) (T);(MATHEMATICAL BOLD FRAKTUR CAPITAL T) (LATIN CAPITAL LETTER T)
1D5B3;0054;(𝖳) (T);(MATHEMATICAL SANS-SERIF CAPITAL T) (LATIN CAPITAL LETTER T)
1D5E7;0054;(𝗧) (T);(MATHEMATICAL SANS-SERIF BOLD CAPITAL T) (LATIN CAPITAL LETTER T)
1D61B;0054;(𝘛) (T);(MATHEMATICAL SANS-SERIF ITALIC CAPITAL T) (LATIN CAPITAL LETTER T)
1D64F;0054;(𝙏) (T);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL T) (LATIN CAPITAL LETTER T)
1D683;0054;(𝚃) (T);(MATHEMATICAL MONOSPACE CAPITAL T) (LATIN CAPITAL LETTER T)
1D6BB;0054;(𝚻) (T);(MATHEMATICAL BOLD CAPITAL TAU) (LATIN CAPITAL LETTER T)
1D6F5;0054;(𝛵) (T);(MATHEMATICAL ITALIC CAPITAL TAU) (LATIN CAPITAL LETTER T)
1D72F;0054;(𝜯) (T);(MATHEMATICAL BOLD ITALIC CAPITAL TAU) (LATIN CAPITAL LETTER T)
1D769;0054;(𝝩) (T);(MATHEMATICAL SANS-SERIF BOLD CAPITAL TAU) (LATIN CAPITAL LETTER T)
1D7A3;0054;(𝞣) (T);(MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL TAU) (LATIN CAPITAL LETTER T)
2121;0054 0045 004C;(℡) (TEL);(TELEPHONE SIGN) (LATIN CAPITAL LETTER T  LATIN CAPITAL LETTER E  LATIN CAPITAL LETTER L)
2122;0054 004D;(™) (TM);(TRADE MARK SIGN) (LATIN CAPITAL LETTER T  LATIN CAPITAL LETTER M)
24C9;0054;(Ⓣ) (T);(CIRCLED LATIN CAPITAL LETTER T) (LATIN CAPITAL LETTER T)
27D9;0054;(⟙) (T);(LARGE DOWN TACK) (LATIN CAPITAL LETTER T)
2CA6;0054;(Ⲧ) (T);(COPTIC CAPITAL LETTER TAU) (LATIN CAPITAL LETTER T)
3394;0054 0048 007A;(㎔) (THz);(SQUARE THZ) (LATIN CAPITAL LETTER T  LATIN CAPITAL LETTER H  LATIN SMALL LETTER Z)
A4D4;0054;(ꓔ) (T);(LISU LETTER TA) (LATIN CAPITAL LETTER T)
A728;0054 007A;(Ꜩ) (Tz);(LATIN CAPITAL LETTER TZ) (LATIN CAPITAL LETTER T  LATIN SMALL LETTER Z)
FF34;0054;(Ｔ) (T);(FULLWIDTH LATIN CAPITAL LETTER T) (LATIN CAPITAL LETTER T)
054D;0055;(Ս) (U);(ARMENIAN CAPITAL LETTER SEH) (LATIN CAPITAL LETTER U)
144C;0055;(ᑌ) (U);(CANADIAN SYLLABICS TE) (LATIN CAPITAL LETTER U)
1457;0055;(ᑗ) (U);(CANADIAN SYLLABICS TWE) (LATIN CAPITAL LETTER U)
1458;0055;(ᑘ) (U);(CANADIAN SYLLABICS WEST-CREE TWE) (LATIN CAPITAL LETTER U)
1467;0055;(ᑧ) (U);(CANADIAN SYLLABICS TTE) (LATIN CAPITAL LETTER U)
1D41;0055;(ᵁ) (U);(MODIFIER LETTER CAPITAL U) (LATIN CAPITAL LETTER U)
1D414;0055;(𝐔) (U);(MATHEMATICAL BOLD CAPITAL U) (LATIN CAPITAL LETTER U)
1D448;0055;(𝑈) (U);(MATHEMATICAL ITALIC CAPITAL U) (LATIN CAPITAL LETTER U)
1D47C;0055;(𝑼) (U);(MATHEMATICAL BOLD ITALIC CAPITAL U) (LATIN CAPITAL LETTER U)
